epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,506.324,0.3026,0.31752,0.87414,0.99761,1,0.995,0.95391,0.2807,0.30962,0.63795,0.0006568,0.0006568,0.0006568
106,511.168,0.32085,0.32702,0.87585,0.9963,1,0.995,0.95691,0.27202,0.31999,0.63543,0.0006535,0.0006535,0.0006535
107,515.974,0.32732,0.33254,0.87731,0.99191,1,0.995,0.96478,0.25586,0.32642,0.63342,0.0006502,0.0006502,0.0006502
108,520.768,0.31711,0.31318,0.88125,0.99175,1,0.995,0.95396,0.28628,0.33391,0.63726,0.0006469,0.0006469,0.0006469
109,525.571,0.32176,0.32829,0.87963,0.99128,1,0.99419,0.95072,0.30109,0.34232,0.63947,0.0006436,0.0006436,0.0006436
110,530.394,0.30909,0.31215,0.87112,0.99138,1,0.99359,0.95345,0.29206,0.32913,0.64022,0.0006403,0.0006403,0.0006403
111,535.222,0.32004,0.31746,0.86864,0.99164,1,0.99374,0.97173,0.25156,0.32071,0.63525,0.000637,0.000637,0.000637
112,540.022,0.31777,0.32551,0.87359,0.99092,1,0.99493,0.97188,0.25528,0.31579,0.63597,0.0006337,0.0006337,0.0006337
113,544.862,0.31294,0.31428,0.88082,0.99221,1,0.995,0.94969,0.30202,0.31981,0.6411,0.0006304,0.0006304,0.0006304
114,549.659,0.30749,0.31256,0.87803,0.99184,1,0.995,0.95709,0.27624,0.32314,0.63612,0.0006271,0.0006271,0.0006271
115,554.432,0.32476,0.32036,0.87844,0.99145,1,0.99463,0.96595,0.26168,0.32952,0.63404,0.0006238,0.0006238,0.0006238
116,559.233,0.32304,0.32513,0.8829,0.99079,1,0.99463,0.94407,0.32688,0.35111,0.6444,0.0006205,0.0006205,0.0006205
117,564.002,0.31456,0.31154,0.88111,0.9915,1,0.99396,0.94531,0.31982,0.34248,0.64507,0.0006172,0.0006172,0.0006172
118,568.792,0.30543,0.31131,0.87578,0.99111,1,0.99359,0.96634,0.26245,0.32327,0.6363,0.0006139,0.0006139,0.0006139
119,573.621,0.31969,0.31196,0.86755,0.99147,1,0.99485,0.96884,0.26542,0.325,0.63515,0.0006106,0.0006106,0.0006106
120,578.387,0.3104,0.31642,0.87489,0.99153,1,0.99463,0.95896,0.27362,0.32133,0.6344,0.0006073,0.0006073,0.0006073
121,583.167,0.31665,0.31878,0.88017,0.99185,1,0.995,0.96197,0.26617,0.31094,0.63617,0.000604,0.000604,0.000604
122,588.016,0.30545,0.3012,0.87277,0.99132,1,0.99367,0.95744,0.27204,0.31457,0.6357,0.0006007,0.0006007,0.0006007
123,592.818,0.31564,0.31162,0.87241,0.99086,1,0.99293,0.96547,0.25429,0.313,0.63258,0.0005974,0.0005974,0.0005974
124,597.625,0.28456,0.30051,0.88103,0.99144,1,0.99404,0.95786,0.27477,0.31163,0.63431,0.0005941,0.0005941,0.0005941
125,602.382,0.30066,0.30513,0.86904,0.99189,1,0.99485,0.96097,0.27625,0.31574,0.63441,0.0005908,0.0005908,0.0005908
126,607.146,0.30813,0.31765,0.87139,0.99184,1,0.995,0.96678,0.25156,0.31057,0.63131,0.0005875,0.0005875,0.0005875
127,611.949,0.30246,0.30481,0.87099,0.99181,1,0.9947,0.96468,0.26418,0.31479,0.63383,0.0005842,0.0005842,0.0005842
128,616.762,0.31241,0.31071,0.86824,0.99133,1,0.9947,0.95935,0.27806,0.31484,0.63456,0.0005809,0.0005809,0.0005809
129,621.557,0.30592,0.30673,0.85945,0.99081,1,0.99448,0.95663,0.27209,0.30654,0.6343,0.0005776,0.0005776,0.0005776
130,626.449,0.29968,0.29816,0.86848,0.99133,1,0.99478,0.95847,0.26556,0.30246,0.63404,0.0005743,0.0005743,0.0005743
131,631.276,0.30186,0.30047,0.86745,0.99163,1,0.99433,0.95775,0.27088,0.30857,0.63612,0.000571,0.000571,0.000571
132,636.1,0.29755,0.30751,0.8751,0.99186,1,0.995,0.95778,0.27838,0.31844,0.63752,0.0005677,0.0005677,0.0005677
133,640.916,0.31551,0.30821,0.8713,0.99803,1,0.995,0.96198,0.27359,0.31489,0.63664,0.0005644,0.0005644,0.0005644
134,645.726,0.29196,0.29768,0.87983,0.99688,1,0.995,0.9604,0.26998,0.3107,0.63657,0.0005611,0.0005611,0.0005611
135,650.56,0.30104,0.30458,0.87721,0.9922,1,0.995,0.96734,0.25602,0.30077,0.63593,0.0005578,0.0005578,0.0005578
136,655.368,0.30068,0.30301,0.87151,0.99198,1,0.995,0.95187,0.30349,0.30558,0.64169,0.0005545,0.0005545,0.0005545
137,660.176,0.30653,0.30164,0.88367,0.99194,1,0.995,0.95866,0.28351,0.30747,0.6394,0.0005512,0.0005512,0.0005512
138,665.02,0.3014,0.29571,0.87232,0.99247,1,0.995,0.96269,0.28546,0.29777,0.63737,0.0005479,0.0005479,0.0005479
139,669.825,0.30377,0.29896,0.88404,0.99244,1,0.995,0.96172,0.27805,0.29781,0.63819,0.0005446,0.0005446,0.0005446
140,674.633,0.28575,0.28875,0.86961,0.99231,1,0.995,0.96797,0.265,0.29342,0.63473,0.0005413,0.0005413,0.0005413
141,679.442,0.31113,0.30882,0.88004,0.992,1,0.995,0.95764,0.28045,0.3029,0.63535,0.000538,0.000538,0.000538
142,684.261,0.2927,0.29897,0.87042,0.99183,1,0.99478,0.95439,0.28946,0.30079,0.63576,0.0005347,0.0005347,0.0005347
143,689.095,0.3018,0.29842,0.87175,0.99186,1,0.9947,0.95606,0.28686,0.28733,0.63529,0.0005314,0.0005314,0.0005314
144,693.889,0.29982,0.29587,0.86673,0.99194,1,0.99493,0.96754,0.27347,0.28265,0.63403,0.0005281,0.0005281,0.0005281
145,698.707,0.29486,0.29091,0.87029,0.99185,1,0.99485,0.96556,0.28101,0.29235,0.63688,0.0005248,0.0005248,0.0005248
146,703.519,0.30186,0.2957,0.86768,0.99188,1,0.995,0.9693,0.25413,0.288,0.63475,0.0005215,0.0005215,0.0005215
147,708.395,0.29278,0.29382,0.87022,0.99273,1,0.995,0.96113,0.27512,0.28662,0.63547,0.0005182,0.0005182,0.0005182
148,713.21,0.28621,0.29341,0.86895,0.99221,1,0.995,0.95159,0.29873,0.28983,0.63818,0.0005149,0.0005149,0.0005149
149,718.001,0.29838,0.2844,0.86616,0.99207,1,0.99493,0.96074,0.27506,0.28148,0.63397,0.0005116,0.0005116,0.0005116
150,722.812,0.29602,0.29254,0.86394,0.99197,1,0.99493,0.96805,0.25256,0.2812,0.63013,0.0005083,0.0005083,0.0005083
151,727.629,0.29258,0.28719,0.87661,0.99203,1,0.99485,0.97216,0.23684,0.27679,0.62872,0.000505,0.000505,0.000505
152,732.413,0.29726,0.29439,0.87052,0.99199,1,0.995,0.96753,0.23775,0.27462,0.62711,0.0005017,0.0005017,0.0005017
153,737.189,0.30258,0.29262,0.8822,0.99242,1,0.995,0.96406,0.24357,0.28063,0.62843,0.0004984,0.0004984,0.0004984
154,741.978,0.30045,0.2993,0.87427,0.99197,1,0.995,0.963,0.26362,0.28695,0.63192,0.0004951,0.0004951,0.0004951
155,746.848,0.28739,0.29034,0.87531,0.99545,1,0.995,0.96575,0.2509,0.28569,0.62952,0.0004918,0.0004918,0.0004918
